							1.3	1.45	1.58
							1.32	1.49	1.65
							1.34	1.55	1.73
							1.39	1.64	1.89
							1.44	1.77	2.09
							1.52	1.95	2.28
							1.7	2.21	2.59
							2.14	2.66	3
2.22		1.94		2.04		2.46	2.86	3.2	3.47
3.3		2.99		2.98		3.35	3.59	3.85	3.98
4.36		4.07		4.09		4.23	4.35	4.48	4.47
5.34		5.2		5.16		5.14	5.13	5.05	5.03
6.46		6.34		6.08		5.87	5.75	5.65	5.58
7.58		7.42		7.1		6.6	6.49	6.32	6.09
							7.25	6.9	6.59
							7.72	7.37	6.99
							8.2	7.72	7.39
							8.45	7.85	7.65
							8.5	8.07	7.89
							8.55	8.25	8.03
							8.53	8.34	8.12
							8.6	8.42	8.21
